epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,7609.99,0.19531,0.33847,0.9309,0.94782,0.93815,0.97211,0.90892,0.30405,0.26048,1.10272,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,7721.9,0.19043,0.3303,0.92916,0.94931,0.93817,0.9721,0.90886,0.30431,0.26005,1.10348,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,7833.7,0.1864,0.32729,0.926,0.94657,0.93915,0.97205,0.90943,0.30407,0.26,1.10388,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,7945.58,0.18639,0.32838,0.92719,0.94929,0.93888,0.97198,0.90923,0.30438,0.26005,1.10492,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,8057.44,0.18697,0.32497,0.92761,0.95169,0.93677,0.97204,0.90921,0.30486,0.26027,1.10623,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,8169.24,0.18146,0.31515,0.92559,0.95404,0.93592,0.972,0.90921,0.30496,0.26019,1.10711,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,8281.37,0.18209,0.31519,0.92613,0.95437,0.93577,0.97209,0.90891,0.30538,0.26059,1.10806,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,8393.44,0.18001,0.30467,0.92277,0.9528,0.93619,0.97199,0.90869,0.30608,0.26094,1.10924,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,8505.38,0.17945,0.30482,0.92347,0.94716,0.94392,0.97239,0.90903,0.3061,0.26079,1.10964,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,8617.37,0.17817,0.30828,0.92371,0.94954,0.94102,0.97247,0.90882,0.30649,0.2604,1.11045,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,8729.35,0.17726,0.30645,0.9226,0.95001,0.94106,0.97254,0.90894,0.30693,0.2597,1.11151,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,8841.59,0.17488,0.297,0.92072,0.95295,0.93933,0.97249,0.90891,0.30771,0.25919,1.11284,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,8953.23,0.17058,0.29657,0.91986,0.95313,0.93932,0.97249,0.90914,0.30843,0.25868,1.11452,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,9064.94,0.17063,0.29376,0.91968,0.95431,0.93931,0.97248,0.90921,0.30863,0.25837,1.11559,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,9176.97,0.1685,0.28822,0.918,0.95046,0.94131,0.97222,0.90919,0.30884,0.25831,1.11637,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,9288.45,inf,0.29349,0.9181,0.94894,0.94285,0.97227,0.90947,0.30883,0.25864,1.11669,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,9400.06,0.17024,0.28963,0.91957,0.95498,0.93829,0.97236,0.90924,0.30928,0.25816,1.11785,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,9511.73,0.16594,0.286,0.91829,0.95617,0.93815,0.9723,0.90948,0.30975,0.25749,1.11911,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,9623.64,0.16847,0.28269,0.91698,0.95664,0.93829,0.97234,0.90936,0.30997,0.2571,1.12013,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,9735.42,0.163,0.2844,0.91617,0.9569,0.93937,0.9724,0.9096,0.31019,0.257,1.1207,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,9847.04,0.16503,0.27987,0.91712,0.95641,0.94035,0.9724,0.90941,0.3107,0.25681,1.12216,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,9958.92,0.16417,0.2737,0.91558,0.95697,0.94035,0.9724,0.9093,0.31082,0.25664,1.12281,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,10071.7,0.15998,0.27547,0.91469,0.95691,0.93978,0.97234,0.90958,0.31085,0.25681,1.12362,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,10183.6,inf,0.27375,0.91366,0.95713,0.93998,0.97238,0.90959,0.31098,0.25628,1.12424,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,10323.4,0.1693,0.14292,0.92959,0.9465,0.9484,0.97236,0.90946,0.31113,0.25624,1.12528,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,10434.3,0.15786,0.12485,0.91869,0.94628,0.94836,0.97211,0.90957,0.31089,0.25603,1.12588,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
